CustomerID,Gender,Age,AnnualIncome,SpendingScore,Cluster,Segment
1,Male,19,15,39,2,Average Customers
2,Male,21,15,81,0,Low Value Customers
3,Female,20,16,6,2,Average Customers
4,Female,23,16,77,0,Low Value Customers
5,Male,31,17,40,2,Average Customers
6,Female,22,17,76,0,Low Value Customers
7,Female,35,18,6,1,Premium Customers
8,Male,23,18,94,0,Low Value Customers
9,Male,64,19,3,1,Premium Customers
10,Female,30,19,72,0,Low Value Customers
11,Male,67,20,14,1,Premium Customers
12,Female,35,20,99,0,Low Value Customers
13,Female,58,21,15,1,Premium Customers
14,Male,24,21,77,3,High Spending Customers
15,Male,37,22,13,1,Premium Customers
16,Female,22,23,79,3,High Spending Customers
17,Male,35,24,35,4,Budget Customers
18,Female,20,24,66,3,High Spending Customers
19,Male,52,25,29,4,Budget Customers
20,Female,35,25,98,3,High Spending Customers
